Detail results of the state of the art classifiers:


+-----------+----------------------+-----------------------+----------------------+----------------------+-----------------------+
| Algorithm |       Accuracy       |       Precision       |        Recall        |          F1          |    Execution Time     |
+-----------+----------------------+-----------------------+----------------------+----------------------+-----------------------+
|    RFC    | 0.061971830985915494 | 0.005752659416414096  | 0.061971830985915494 | 0.010528033063244333 |  0.01137995719909668  |
|    DTC    | 0.061971830985915494 | 0.004300884169369529  | 0.061971830985915494 | 0.008043541484897585 | 0.0007588863372802734 |
|    SVM    | 0.061971830985915494 | 0.0038405078357468753 | 0.061971830985915494 |  0.007232786640266   | 0.060614824295043945  |
|    KNN    | 0.11549295774647887  | 0.031770462538659505  | 0.11549295774647887  | 0.04856618389354585  | 0.009099960327148438  |
|    LDA    |  0.0647887323943662  | 0.008190209152077927  |  0.0647887323943662  | 0.013225927313600599 | 0.0009663105010986328 |
|    GNB    | 0.04788732394366197  | 0.003344511513525598  | 0.04788732394366197  | 0.006252350900656164 | 0.0010471343994140625 |
|    RFC    | 0.061971830985915494 | 0.005752659416414096  | 0.061971830985915494 | 0.010528033063244333 | 0.007338047027587891  |
|    DTC    | 0.061971830985915494 | 0.004300884169369529  | 0.061971830985915494 | 0.008043541484897585 | 0.0006978511810302734 |
|    SVM    | 0.061971830985915494 | 0.0038405078357468753 | 0.061971830985915494 |  0.007232786640266   |  0.05334806442260742  |
|    KNN    | 0.11549295774647887  | 0.031770462538659505  | 0.11549295774647887  | 0.04856618389354585  |  0.00729823112487793  |
|    LDA    |  0.0647887323943662  | 0.008190209152077927  |  0.0647887323943662  | 0.013225927313600599 | 0.0006101131439208984 |
|    GNB    | 0.04788732394366197  | 0.003344511513525598  | 0.04788732394366197  | 0.006252350900656164 | 0.0010268688201904297 |
|    RFC    | 0.061971830985915494 | 0.005752659416414096  | 0.061971830985915494 | 0.010528033063244333 | 0.011237144470214844  |
|    DTC    | 0.061971830985915494 | 0.004300884169369529  | 0.061971830985915494 | 0.008043541484897585 | 0.0007798671722412109 |
|    SVM    | 0.061971830985915494 | 0.0038405078357468753 | 0.061971830985915494 |  0.007232786640266   | 0.054136037826538086  |
|    KNN    | 0.11549295774647887  | 0.031770462538659505  | 0.11549295774647887  | 0.04856618389354585  |   0.007476806640625   |
|    LDA    |  0.0647887323943662  | 0.008190209152077927  |  0.0647887323943662  | 0.013225927313600599 | 0.0008358955383300781 |
|    GNB    | 0.04788732394366197  | 0.003344511513525598  | 0.04788732394366197  | 0.006252350900656164 | 0.0012450218200683594 |
|    RFC    | 0.061971830985915494 | 0.005752659416414096  | 0.061971830985915494 | 0.010528033063244333 | 0.008206844329833984  |
|    DTC    | 0.061971830985915494 | 0.004300884169369529  | 0.061971830985915494 | 0.008043541484897585 | 0.0006902217864990234 |
|    SVM    | 0.061971830985915494 | 0.0038405078357468753 | 0.061971830985915494 |  0.007232786640266   |  0.05388784408569336  |
|    KNN    | 0.11549295774647887  | 0.031770462538659505  | 0.11549295774647887  | 0.04856618389354585  |  0.00710296630859375  |
|    LDA    |  0.0647887323943662  | 0.008190209152077927  |  0.0647887323943662  | 0.013225927313600599 | 0.0006110668182373047 |
|    GNB    | 0.04788732394366197  | 0.003344511513525598  | 0.04788732394366197  | 0.006252350900656164 | 0.0009958744049072266 |
|    RFC    | 0.061971830985915494 | 0.005752659416414096  | 0.061971830985915494 | 0.010528033063244333 |  0.00718379020690918  |
|    DTC    | 0.061971830985915494 | 0.004300884169369529  | 0.061971830985915494 | 0.008043541484897585 | 0.0007050037384033203 |
|    SVM    | 0.061971830985915494 | 0.0038405078357468753 | 0.061971830985915494 |  0.007232786640266   |  0.05578804016113281  |
|    KNN    | 0.11549295774647887  | 0.031770462538659505  | 0.11549295774647887  | 0.04856618389354585  | 0.0071561336517333984 |
|    LDA    |  0.0647887323943662  | 0.008190209152077927  |  0.0647887323943662  | 0.013225927313600599 |  0.0006561279296875   |
|    GNB    | 0.04788732394366197  | 0.003344511513525598  | 0.04788732394366197  | 0.006252350900656164 | 0.001016855239868164  |
|    RFC    | 0.061971830985915494 | 0.005752659416414096  | 0.061971830985915494 | 0.010528033063244333 | 0.007158994674682617  |
|    DTC    | 0.061971830985915494 | 0.004300884169369529  | 0.061971830985915494 | 0.008043541484897585 | 0.0007190704345703125 |
|    SVM    | 0.061971830985915494 | 0.0038405078357468753 | 0.061971830985915494 |  0.007232786640266   |  0.0534672737121582   |
|    KNN    | 0.11549295774647887  | 0.031770462538659505  | 0.11549295774647887  | 0.04856618389354585  | 0.007123231887817383  |
|    LDA    |  0.0647887323943662  | 0.008190209152077927  |  0.0647887323943662  | 0.013225927313600599 | 0.0006136894226074219 |
|    GNB    | 0.04788732394366197  | 0.003344511513525598  | 0.04788732394366197  | 0.006252350900656164 | 0.0010120868682861328 |
|    RFC    | 0.061971830985915494 | 0.005752659416414096  | 0.061971830985915494 | 0.010528033063244333 | 0.007259845733642578  |
|    DTC    | 0.061971830985915494 | 0.004300884169369529  | 0.061971830985915494 | 0.008043541484897585 | 0.0006818771362304688 |
|    SVM    | 0.061971830985915494 | 0.0038405078357468753 | 0.061971830985915494 |  0.007232786640266   |  0.05334925651550293  |
|    KNN    | 0.11549295774647887  | 0.031770462538659505  | 0.11549295774647887  | 0.04856618389354585  | 0.007229804992675781  |
|    LDA    |  0.0647887323943662  | 0.008190209152077927  |  0.0647887323943662  | 0.013225927313600599 | 0.0007181167602539062 |
|    GNB    | 0.04788732394366197  | 0.003344511513525598  | 0.04788732394366197  | 0.006252350900656164 | 0.001138925552368164  |
|    RFC    | 0.061971830985915494 | 0.005752659416414096  | 0.061971830985915494 | 0.010528033063244333 |  0.00755000114440918  |
|    DTC    | 0.061971830985915494 | 0.004300884169369529  | 0.061971830985915494 | 0.008043541484897585 | 0.000804901123046875  |
|    SVM    | 0.061971830985915494 | 0.0038405078357468753 | 0.061971830985915494 |  0.007232786640266   |  0.05701303482055664  |
|    KNN    | 0.11549295774647887  | 0.031770462538659505  | 0.11549295774647887  | 0.04856618389354585  | 0.007139921188354492  |
|    LDA    |  0.0647887323943662  | 0.008190209152077927  |  0.0647887323943662  | 0.013225927313600599 | 0.0006549358367919922 |
|    GNB    | 0.04788732394366197  | 0.003344511513525598  | 0.04788732394366197  | 0.006252350900656164 | 0.0010061264038085938 |
|    RFC    | 0.061971830985915494 | 0.005752659416414096  | 0.061971830985915494 | 0.010528033063244333 | 0.007166862487792969  |
|    DTC    | 0.061971830985915494 | 0.004300884169369529  | 0.061971830985915494 | 0.008043541484897585 | 0.0006783008575439453 |
|    SVM    | 0.061971830985915494 | 0.0038405078357468753 | 0.061971830985915494 |  0.007232786640266   |  0.05452108383178711  |
|    KNN    | 0.11549295774647887  | 0.031770462538659505  | 0.11549295774647887  | 0.04856618389354585  | 0.007175922393798828  |
|    LDA    |  0.0647887323943662  | 0.008190209152077927  |  0.0647887323943662  | 0.013225927313600599 | 0.0006079673767089844 |
|    GNB    | 0.04788732394366197  | 0.003344511513525598  | 0.04788732394366197  | 0.006252350900656164 | 0.0009961128234863281 |
|    RFC    | 0.061971830985915494 | 0.005752659416414096  | 0.061971830985915494 | 0.010528033063244333 | 0.007114887237548828  |
|    DTC    | 0.061971830985915494 | 0.004300884169369529  | 0.061971830985915494 | 0.008043541484897585 | 0.0006837844848632812 |
|    SVM    | 0.061971830985915494 | 0.0038405078357468753 | 0.061971830985915494 |  0.007232786640266   |  0.05387711524963379  |
|    KNN    | 0.11549295774647887  | 0.031770462538659505  | 0.11549295774647887  | 0.04856618389354585  | 0.007696866989135742  |
|    LDA    |  0.0647887323943662  | 0.008190209152077927  |  0.0647887323943662  | 0.013225927313600599 | 0.0007779598236083984 |
|    GNB    | 0.04788732394366197  | 0.003344511513525598  | 0.04788732394366197  | 0.006252350900656164 | 0.0012137889862060547 |
|    RFC    | 0.061971830985915494 | 0.005752659416414096  | 0.061971830985915494 | 0.010528033063244333 | 0.007960081100463867  |
|    DTC    | 0.061971830985915494 | 0.004300884169369529  | 0.061971830985915494 | 0.008043541484897585 | 0.0006771087646484375 |
|    SVM    | 0.061971830985915494 | 0.0038405078357468753 | 0.061971830985915494 |  0.007232786640266   |  0.05427289009094238  |
|    KNN    | 0.11549295774647887  | 0.031770462538659505  | 0.11549295774647887  | 0.04856618389354585  | 0.007184028625488281  |
|    LDA    |  0.0647887323943662  | 0.008190209152077927  |  0.0647887323943662  | 0.013225927313600599 | 0.0006151199340820312 |
|    GNB    | 0.04788732394366197  | 0.003344511513525598  | 0.04788732394366197  | 0.006252350900656164 | 0.0009930133819580078 |
|    RFC    | 0.061971830985915494 | 0.005752659416414096  | 0.061971830985915494 | 0.010528033063244333 | 0.0070879459381103516 |
|    DTC    | 0.061971830985915494 | 0.004300884169369529  | 0.061971830985915494 | 0.008043541484897585 | 0.0006711483001708984 |
|    SVM    | 0.061971830985915494 | 0.0038405078357468753 | 0.061971830985915494 |  0.007232786640266   |  0.05337190628051758  |
|    KNN    | 0.11549295774647887  | 0.031770462538659505  | 0.11549295774647887  | 0.04856618389354585  | 0.007197141647338867  |
|    LDA    |  0.0647887323943662  | 0.008190209152077927  |  0.0647887323943662  | 0.013225927313600599 | 0.0006251335144042969 |
|    GNB    | 0.04788732394366197  | 0.003344511513525598  | 0.04788732394366197  | 0.006252350900656164 | 0.0009970664978027344 |
|    RFC    | 0.061971830985915494 | 0.005752659416414096  | 0.061971830985915494 | 0.010528033063244333 | 0.007105112075805664  |
|    DTC    | 0.061971830985915494 | 0.004300884169369529  | 0.061971830985915494 | 0.008043541484897585 | 0.0006630420684814453 |
|    SVM    | 0.061971830985915494 | 0.0038405078357468753 | 0.061971830985915494 |  0.007232786640266   | 0.053566932678222656  |
|    KNN    | 0.11549295774647887  | 0.031770462538659505  | 0.11549295774647887  | 0.04856618389354585  | 0.007158994674682617  |
|    LDA    |  0.0647887323943662  | 0.008190209152077927  |  0.0647887323943662  | 0.013225927313600599 | 0.0006039142608642578 |
|    GNB    | 0.04788732394366197  | 0.003344511513525598  | 0.04788732394366197  | 0.006252350900656164 | 0.0009868144989013672 |
|    RFC    | 0.061971830985915494 | 0.005752659416414096  | 0.061971830985915494 | 0.010528033063244333 | 0.007153987884521484  |
|    DTC    | 0.061971830985915494 | 0.004300884169369529  | 0.061971830985915494 | 0.008043541484897585 | 0.0006659030914306641 |
|    SVM    | 0.061971830985915494 | 0.0038405078357468753 | 0.061971830985915494 |  0.007232786640266   |  0.05325794219970703  |
|    KNN    | 0.11549295774647887  | 0.031770462538659505  | 0.11549295774647887  | 0.04856618389354585  |  0.00704193115234375  |
|    LDA    |  0.0647887323943662  | 0.008190209152077927  |  0.0647887323943662  | 0.013225927313600599 | 0.0006279945373535156 |
|    GNB    | 0.04788732394366197  | 0.003344511513525598  | 0.04788732394366197  | 0.006252350900656164 | 0.0010290145874023438 |
|    RFC    | 0.061971830985915494 | 0.005752659416414096  | 0.061971830985915494 | 0.010528033063244333 | 0.0071871280670166016 |
|    DTC    | 0.061971830985915494 | 0.004300884169369529  | 0.061971830985915494 | 0.008043541484897585 | 0.0006909370422363281 |
|    SVM    | 0.061971830985915494 | 0.0038405078357468753 | 0.061971830985915494 |  0.007232786640266   |  0.05356907844543457  |
|    KNN    | 0.11549295774647887  | 0.031770462538659505  | 0.11549295774647887  | 0.04856618389354585  | 0.007161140441894531  |
|    LDA    |  0.0647887323943662  | 0.008190209152077927  |  0.0647887323943662  | 0.013225927313600599 | 0.0006172657012939453 |
|    GNB    | 0.04788732394366197  | 0.003344511513525598  | 0.04788732394366197  | 0.006252350900656164 | 0.0010197162628173828 |
|    RFC    | 0.061971830985915494 | 0.005752659416414096  | 0.061971830985915494 | 0.010528033063244333 | 0.007098197937011719  |
|    DTC    | 0.061971830985915494 | 0.004300884169369529  | 0.061971830985915494 | 0.008043541484897585 | 0.0006668567657470703 |
|    SVM    | 0.061971830985915494 | 0.0038405078357468753 | 0.061971830985915494 |  0.007232786640266   | 0.053878068923950195  |
|    KNN    | 0.11549295774647887  | 0.031770462538659505  | 0.11549295774647887  | 0.04856618389354585  | 0.007319927215576172  |
|    LDA    |  0.0647887323943662  | 0.008190209152077927  |  0.0647887323943662  | 0.013225927313600599 | 0.0006368160247802734 |
|    GNB    | 0.04788732394366197  | 0.003344511513525598  | 0.04788732394366197  | 0.006252350900656164 | 0.0009942054748535156 |
|    RFC    | 0.061971830985915494 | 0.005752659416414096  | 0.061971830985915494 | 0.010528033063244333 | 0.007249116897583008  |
|    DTC    | 0.061971830985915494 | 0.004300884169369529  | 0.061971830985915494 | 0.008043541484897585 | 0.0006690025329589844 |
|    SVM    | 0.061971830985915494 | 0.0038405078357468753 | 0.061971830985915494 |  0.007232786640266   | 0.053273677825927734  |
|    KNN    | 0.11549295774647887  | 0.031770462538659505  | 0.11549295774647887  | 0.04856618389354585  |   0.00714111328125    |
|    LDA    |  0.0647887323943662  | 0.008190209152077927  |  0.0647887323943662  | 0.013225927313600599 | 0.0006220340728759766 |
|    GNB    | 0.04788732394366197  | 0.003344511513525598  | 0.04788732394366197  | 0.006252350900656164 | 0.0010101795196533203 |
|    RFC    | 0.061971830985915494 | 0.005752659416414096  | 0.061971830985915494 | 0.010528033063244333 | 0.007112979888916016  |
|    DTC    | 0.061971830985915494 | 0.004300884169369529  | 0.061971830985915494 | 0.008043541484897585 | 0.0006661415100097656 |
|    SVM    | 0.061971830985915494 | 0.0038405078357468753 | 0.061971830985915494 |  0.007232786640266   | 0.053666114807128906  |
|    KNN    | 0.11549295774647887  | 0.031770462538659505  | 0.11549295774647887  | 0.04856618389354585  | 0.007128000259399414  |
|    LDA    |  0.0647887323943662  | 0.008190209152077927  |  0.0647887323943662  | 0.013225927313600599 | 0.0006439685821533203 |
|    GNB    | 0.04788732394366197  | 0.003344511513525598  | 0.04788732394366197  | 0.006252350900656164 | 0.0009870529174804688 |
|    RFC    | 0.061971830985915494 | 0.005752659416414096  | 0.061971830985915494 | 0.010528033063244333 | 0.007129192352294922  |
|    DTC    | 0.061971830985915494 | 0.004300884169369529  | 0.061971830985915494 | 0.008043541484897585 | 0.0006437301635742188 |
|    SVM    | 0.061971830985915494 | 0.0038405078357468753 | 0.061971830985915494 |  0.007232786640266   | 0.053555965423583984  |
|    KNN    | 0.11549295774647887  | 0.031770462538659505  | 0.11549295774647887  | 0.04856618389354585  | 0.007055759429931641  |
|    LDA    |  0.0647887323943662  | 0.008190209152077927  |  0.0647887323943662  | 0.013225927313600599 | 0.0006031990051269531 |
|    GNB    | 0.04788732394366197  | 0.003344511513525598  | 0.04788732394366197  | 0.006252350900656164 | 0.0009808540344238281 |
|    RFC    | 0.061971830985915494 | 0.005752659416414096  | 0.061971830985915494 | 0.010528033063244333 | 0.0074880123138427734 |
|    DTC    | 0.061971830985915494 | 0.004300884169369529  | 0.061971830985915494 | 0.008043541484897585 | 0.0006678104400634766 |
|    SVM    | 0.061971830985915494 | 0.0038405078357468753 | 0.061971830985915494 |  0.007232786640266   |  0.05360078811645508  |
|    KNN    | 0.11549295774647887  | 0.031770462538659505  | 0.11549295774647887  | 0.04856618389354585  | 0.007095813751220703  |
|    LDA    |  0.0647887323943662  | 0.008190209152077927  |  0.0647887323943662  | 0.013225927313600599 | 0.0005919933319091797 |
